name,year,engine_capacity,horse_power,fuel,transmission,drive_unit,mileage,location,price
Great Wall Hover H3,2013,2.4,136,бензин,механика,4WD,27000,Москва,1 360 000 ₽
Voyah Free,2023,,489,электро,АКПП,4WD,,Москва,4 700 000 ₽
Voyah Free,2023,1.5,150,гибрид,АКПП,4WD,,Москва,5 150 000 ₽
Zeekr X,2023,,422,электро,АКПП,4WD,,Москва,4 650 000 ₽
Toyota Camry,2023,2.5,206,бензин,АКПП,передний,100,Москва,4 500 000 ₽
Lexus NX300,2018,2.0,238,бензин,АКПП,4WD,135000,Москва,3 795 000 ₽
Geely Monjaro,2023,2.0,238,бензин,АКПП,4WD,0,Москва,4 000 000 ₽
Geely Monjaro,2023,2.0,238,бензин,АКПП,4WD,,Москва,3 650 000 ₽
Lexus LX470,2007,4.7,234,бензин,АКПП,4WD,230000,Москва,4 123 000 ₽
BMW X6,2023,3.0,298,дизель,АКПП,4WD,5500,Москва,13 050 000 ₽
Hyundai Staria,2022,2.2,177,дизель,АКПП,4WD,0,Москва,6 990 000 ₽
Lexus RX350L,2021,3.5,290,бензин,АКПП,4WD,21000,Москва,5 290 000 ₽
Toyota Highlander,2022,3.5,295,бензин,АКПП,4WD,15000,Москва,8 000 000 ₽
Land Rover Range Rover Velar,2018,2.0,180,дизель,АКПП,4WD,55000,Москва,5 350 000 ₽
Geely Monjaro,2023,2.0,238,бензин,АКПП,4WD,0,Москва,3 490 000 ₽
Dodge Ram,2018,5.7,396,бензин,автомат,4WD,184000,Москва,4 400 000 ₽
Li L9,2023,1.5,154,гибрид,АКПП,4WD,,Москва,7 100 000 ₽
BMW X5,2020,3.0,265,дизель,АКПП,4WD,136495,Москва,6 550 000 ₽
Voyah Dream,2022,,435,электро,автомат,4WD,4100,Москва,8 200 000 ₽
Kia Carnival,2023,2.2,202,дизель,АКПП,передний,0,Москва,6 900 000 ₽
Toyota Alphard,2019,2.5,152,гибрид,вариатор,4WD,39900,Москва,5 650 000 ₽
BMW X7,2020,3.0,340,бензин,АКПП,4WD,21200,Москва,8 590 000 ₽
Volkswagen Passat,2013,1.8,152,бензин,робот,передний,121000,Москва,1 050 000 ₽
Mercedes-Benz G-Class,2021,2.9,249,дизель,АКПП,4WD,39900,Москва,18 500 000 ₽
Прочие авто Иномарки,1967,4.7,200,бензин,автомат,задний,150000,Москва,5 000 000 ₽
Volvo XC90,2016,2.0,225,дизель,АКПП,4WD,122000,Москва,3 750 000 ₽
Porsche Macan,2019,2.0,252,бензин,робот,4WD,60082,Москва,6 499 000 ₽
RAM 1500,2020,3.0,260,дизель,АКПП,4WD,78747,Москва,7 099 000 ₽
Лада 2112,2007,1.6,89,бензин,механика,передний,200000,Нижний Новгород,182 000 ₽
Nissan Teana,2007,2.3,173,бензин,АКПП,передний,0,Краснодар,700 000 ₽
Toyota Mark II,1997,2.0,140,бензин,АКПП,задний,300000,Надым,400 000 ₽
Toyota Corona,1993,1.8,125,бензин,АКПП,передний,436825,Абинск,320 000 ₽
Chevrolet Lanos,2006,1.5,86,бензин,механика,передний,150000,Ефремов,60 000 ₽
BMW 1-Series,2011,1.6,170,бензин,АКПП,задний,237000,Краснодар,1 215 000 ₽
Kia Sportage,2023,2.5,190,бензин,АКПП,4WD,0,Самара,3 999 000 ₽
Mitsubishi ASX,2012,1.8,140,бензин,вариатор,передний,210000,Краснодар,1 155 000 ₽
Volkswagen Tiguan,2017,2.0,180,бензин,робот,4WD,200000,Новый Уренгой,2 600 000 ₽
Toyota Camry,2011,2.4,167,бензин,АКПП,передний,95000,Краснодар,1 655 000 ₽
Hyundai Elantra,2023,1.5,115,бензин,вариатор,передний,,Краснодар,2 600 000 ₽
Toyota Voxy,2010,2.0,158,бензин,вариатор,передний,167000,Краснодар,1 549 000 ₽
Honda Freed+,2018,1.5,110,гибрид,робот,передний,62000,Улан-Удэ,1 580 000 ₽
Mercedes-Benz GL-Class,2008,5.5,388,бензин,АКПП,4WD,165000,Коломна,950 000 ₽
Lexus IS250,2008,2.5,208,бензин,АКПП,задний,270000,Красноярск,1 550 000 ₽
Subaru Forester,2002,2.0,137,бензин,механика,4WD,350000,Новосибирск,645 000 ₽
Skoda Octavia,2013,1.6,102,бензин,механика,передний,132135,Полтавская,1 200 000 ₽
Mazda Mazda3,2005,1.6,105,бензин,механика,передний,240000,Нижний Тагил,320 000 ₽
Chevrolet Lacetti,2010,1.4,95,бензин,механика,передний,204200,Санкт-Петербург,600 000 ₽
Mitsubishi Pajero,1999,3.5,194,бензин,АКПП,4WD,370000,Армавир,865 000 ₽
Skoda Kodiaq,2020,2.0,150,дизель,робот,4WD,34150,Ростов-на-Дону,3 990 000 ₽
Zeekr 009,2023,,544,электро,АКПП,4WD,,Ростов-на-Дону,11 000 000 ₽
